id,user_id,tree_id,comment_text,platform,sentiment,confidence,category,impact,water_drops,poison_drops,week_number
#######,#######,#######,Amen,twitter,neutral,0.5,Normal,2,0,0,48
#######,#######,#######,I love how hopeful you are,twitter,positive,0.6,Normal,3,3,0,49
#######,#######,#######,The perfect sunset,twitter,positive,0.6,Normal,3,3,0,49
#######,#######,#######,Awesome couple.,twitter,positive,0.6,Normal,3,3,0,50
#######,#######,#######,😂😂💯When I see this I see pranks,instagram,neutral,0.5,Normal,1,0,0,49
#######,#######,#######,done,twitter,neutral,0.5,Normal,1,0,0,50
#######,#######,#######,I love me some healthy fruits all the way!!,twitter,positive,0.6,Normal,3,3,0,48
#######,#######,#######,Good to see you.,twitter,positive,0.6,Normal,3,3,0,50
#######,#######,#######,Maybe eating salad was the problem,twitter,neutral,0.5,Normal,1,0,0,49
#######,#######,#######,"yooooo,this is a hit and very nice",instagram,positive,0.6,Normal,3,3,0,50
#######,#######,#######,🤣🤣🤣 men,twitter,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,"creative and talented plus entertaining,i love thi",instagram,positive,0.6,Normal,3,3,0,50
#######,#######,#######,"Moses, Joseph Elijah",twitter,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,Beautiful image .,twitter,positive,0.6,Normal,3,3,0,48
#######,#######,#######,amazing dance moves,instagram,positive,0.6,Normal,3,3,0,50
#######,#######,#######,wonderful,instagram,positive,0.6,Normal,3,3,0,51
#######,#######,#######,You are great and awesome sir.,twitter,positive,0.7,Normal,4,4,0,48
#######,#######,#######,Love this!,instagram,positive,0.6,Normal,3,3,0,49
#######,#######,#######,The vibe here is pure growth!,twitter,neutral,0.5,Normal,1,0,0,49
#######,#######,#######,😂😂 I stopped at 1.,instagram,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,goodluck to everyone,instagram,positive,0.6,Normal,3,3,0,52
#######,#######,#######,juquinha amor da minha vida apenas,twitter,neutral,0.5,Normal,1,0,0,48
#######,#######,#######,Vini is a great guy,twitter,positive,0.6,Normal,3,3,0,49
#######,#######,#######,he is very good baller,twitter,positive,0.6,Normal,3,3,0,49
#######,#######,#######,amen. thank you,twitter,positive,0.6,Normal,3,3,0,48
#######,#######,#######,pretty😍,instagram,neutral,0.5,Normal,1,0,0,49
#######,#######,#######,🤣🤣,twitter,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,"Unlike the rest of them, I got nothing else left to prove.",twitter,neutral,0.5,Normal,1,0,0,48
#######,#######,#######,God is good,twitter,positive,0.6,Normal,3,3,0,51
#######,#######,#######,"veery true, the entire state and it's bodies",twitter,negative,0.85,Hate Speech,9,0,9,47
#######,#######,#######,Money is a big motivation for sure🤪,twitter,neutral,0.5,Normal,1,0,0,46
#######,#######,#######,yes 🗣️🗣️🗣️,twitter,neutral,0.5,Normal,1,0,0,51
#######,#######,#######,ouch,instagram,neutral,0.5,Normal,2,0,0,52
#######,#######,#######,im sorry,instagram,neutral,0.5,Normal,2,0,0,52
#######,#######,#######,"No matter how today started, you can still choose positivity. Shine anyway. ✨🌞",twitter,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,I had no idea that photo mode could do this,instagram,neutral,0.5,Normal,1,0,0,48
#######,#######,#######,naked truth though🥲🥲,twitter,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,I had no idea Sammy had this kind of longevity. My earliest reference to him was through the Rat Pack. Iconic.,twitter,neutral,0.5,Normal,1,0,0,50
#######,#######,#######,✊✊,twitter,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,$10000,twitter,neutral,0.5,Normal,1,0,0,49
#######,#######,#######,what ever girl,instagram,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,Looking good and cool,twitter,positive,0.7,Normal,4,4,0,48
#######,#######,#######,i also want that feeling,twitter,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,useful prayer. Thanks,twitter,positive,0.6,Normal,3,3,0,48
#######,#######,#######,😂😂,twitter,neutral,0.5,Normal,1,0,0,48
#######,#######,#######,Vini is feeling sad with Rodrygo somewhere in the corner,twitter,neutral,0.5,Normal,1,0,0,50
#######,#######,#######,very nice,instagram,positive,0.6,Normal,3,3,0,51
#######,#######,#######,I game because a job application is complicated,instagram,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,beautiful,instagram,positive,0.6,Normal,3,3,0,52
#######,#######,#######,wow that is amazing,twitter,positive,0.6,Normal,3,3,0,52
#######,#######,#######,1st Presented FVG not IFVG,twitter,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,God is good,twitter,positive,0.6,Normal,3,3,0,50
#######,#######,#######,x,instagram,neutral,0.5,Normal,1,0,0,50
#######,#######,#######,Awesome and cool behavior.,twitter,positive,0.7,Normal,4,4,0,48
#######,#######,#######,I am starting to believe is falsely accused. He needs to be released he is a good man.,twitter,positive,0.6,Normal,3,3,0,48
#######,#######,#######,Great came back.,twitter,positive,0.6,Normal,3,3,0,52
#######,#######,#######,Baloyi doesn't want Gwabini to speak about the consultations where  Baloyi and Sibanda were forcing him to lie 🤣🤣🤣😂😂😂 #senzomeyiwatrial,twitter,neutral,0.5,Normal,1,0,0,48
#######,#######,#######,May it crash soon soon,twitter,neutral,0.5,Normal,1,0,0,48
#######,#######,#######,motivo do sofrimento: calor do rj,twitter,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,"Those who know Zungu jnr. please check on him, angenzi ezase Paris 🙃🙃🙃🙃 #senzomeyiwatrial",twitter,neutral,0.5,Normal,1,0,0,46
#######,#######,#######,I miss this era of gaming. I loved the innovation,instagram,positive,0.6,Normal,3,3,0,48
#######,#######,#######,amen. thanks,twitter,positive,0.6,Normal,3,3,0,48
#######,#######,#######,Not that great really,instagram,positive,0.6,Normal,3,3,0,50
#######,#######,#######,Thanks for the encouragement! I’ll try to give myself some grace and focus on the positives.,twitter,positive,0.6,Normal,3,3,0,47
#######,#######,#######,"Blessing of God, you are really kind and good.",twitter,positive,0.6,Normal,3,3,0,48
#######,#######,#######,You are correct,twitter,neutral,0.5,Normal,1,0,0,51
#######,#######,#######,He is a good God,twitter,positive,0.6,Normal,3,3,0,51
#######,#######,#######,What a beautiful night view,twitter,positive,0.6,Normal,3,3,0,49
#######,#######,#######,Then Zeze became a big let down,instagram,neutral,0.5,Normal,1,0,0,48
#######,#######,#######,"Thank you, Bafana Bafana!",twitter,positive,0.6,Normal,3,3,0,52
#######,#######,#######,Well done! I see a Nobel Prize in your future,instagram,positive,0.6,Normal,1,1,0,46
#######,#######,#######,"Wow!! Well-done, you are looking good.",twitter,positive,0.6,Normal,3,3,0,48
#######,#######,#######,Great to see you sir.,twitter,positive,0.6,Normal,3,3,0,48
#######,#######,#######,Sep-28,twitter,neutral,0.5,Normal,1,0,0,50
#######,#######,#######,Gaps are the only reasonable areas to execute your market orders. You can only get lucky for so long trying to pick tops and bottoms. Those are highly magnetic areas eventually you will get tagged.,twitter,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,Does your country only have clowns for politicians?,twitter,neutral,0.5,Normal,1,0,0,52
#######,#######,#######,i love savanna dry,instagram,positive,0.6,Normal,3,3,0,52
#######,#######,#######,Tired and sleep deprived!,twitter,neutral,0.5,Normal,1,0,0,50
#######,#######,#######,Lovely selection you got there,instagram,positive,0.6,Normal,3,3,0,47
#######,#######,#######,"Good meal, my favorited one.",twitter,positive,0.6,Normal,3,3,0,48
#######,#######,#######,good enough,twitter,positive,0.6,Normal,3,3,0,51
#######,#######,#######,thanks always for inspiring me to play the guitar!,instagram,positive,0.6,Normal,3,3,0,48
#######,#######,#######,hoje decidi usar uma nova abordagem 🤫,twitter,neutral,0.5,Normal,1,0,0,50
#######,#######,#######,beautiful work,twitter,positive,0.6,Normal,3,3,0,49
#######,#######,#######,peter is something else honestly 🤣,twitter,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,Vanta black,twitter,neutral,0.5,Normal,1,0,0,48
#######,#######,#######,nice,instagram,positive,0.6,Normal,3,3,0,51
#######,#######,#######,"And today, the race responsible for these laws is crying about being marginalized and suffering under ""race-based"" laws!! South Africa is indeed alive with possibilities!! 🤣🤣🤣🤣🤣🤣",twitter,negative,0.5,Trolling,3,0,3,48
#######,#######,#######,seria meu sonho todo dia ser abaixo de 30 graus,twitter,neutral,0.5,Normal,1,0,0,49
#######,#######,#######,lol AGREED!,instagram,negative,0.5,Trolling,3,0,3,49
#######,#######,#######,nice,instagram,positive,0.6,Normal,3,3,0,52
#######,#######,#######,"Keep blooming, superstar",twitter,neutral,0.5,Normal,1,0,0,51
#######,#######,#######,"Same one who refused bail for Ntanzi who had no priors, employed, no passports for flee, but granted bail to Kat's friend who has priors and plenty money and connections to help him flee!! Same one who recommended Ratha for this case",twitter,negative,0.65,Profanity,5,0,5,48
#######,#######,#######,You are cool.,twitter,positive,0.6,Normal,3,3,0,48
#######,#######,#######,"We won finally. Thank you, Nuno #LFC  #WHULIV",twitter,positive,0.6,Normal,3,3,0,49
#######,#######,#######,congratulations!!!!,instagram,neutral,0.5,Normal,1,0,0,49
#######,#######,#######,x,instagram,neutral,0.5,Normal,1,0,0,48
#######,#######,#######,This is helpful. Thanks a bunch,twitter,positive,0.7,Normal,4,4,0,48
#######,#######,#######,This looks delicious,instagram,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,perfect nusic,instagram,positive,0.6,Normal,3,3,0,50
#######,#######,#######,God of Househusband,instagram,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,"From the river to the sea, Palestine will be free! 🇵🇸",twitter,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,"dope song,i love it",instagram,positive,0.6,Normal,3,3,0,51
#######,#######,#######,AMAZING,instagram,positive,0.6,Normal,3,3,0,50
#######,#######,#######,"pergunta genuína: uso genéricos pra endometriose há anos. estava tomando um, mas por uns meses mudei pra outro e logo comecei a ter 3 dores diferentes; voltei pro lab anterior e as dores diminuíram mto de frequência. pode haver alguma msm que mínima diferença de um gen pra outro?",twitter,neutral,0.5,Normal,1,0,0,52
#######,#######,#######,انا خلاص بقي عندي اقتناع تام اننا عالم مادي بحت وان مشاكلنا كلها مادية ولو انت عندك المادة هتبقي مبسوط. ولو انت مش مبسوط فببساطة عشان معندكش المادة بالقدر الكافي مش اكتر سواء حب فلوس الخ.حاولت اوهم نفسي كتير انه لا اكيد الناس مش كدا اكيد الدنيا مش كدا بس كله عايز ومحدش لاقي.,twitter,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,Beautiful,twitter,positive,0.6,Normal,3,3,0,50
#######,#######,#######,😊😊Looking good,instagram,positive,0.6,Normal,3,3,0,47
#######,#######,#######,insightful,twitter,positive,0.6,Normal,3,3,0,49
#######,#######,#######,did he uncheat or the cheating is still there,instagram,neutral,0.5,Normal,1,0,0,50
#######,#######,#######,im sorry,instagram,neutral,0.5,Normal,2,0,0,52
#######,#######,#######,beautiful,instagram,positive,0.6,Normal,3,3,0,50
#######,#######,#######,sgebengu lo beautiful,instagram,positive,0.6,Normal,3,3,0,52
#######,#######,#######,Great news,instagram,positive,0.6,Normal,1,1,0,46
#######,#######,#######,my beautiful mother,twitter,positive,0.6,Normal,3,3,0,49
#######,#######,#######,Happy birthday to her from a fellow Chels 💙,twitter,neutral,0.5,Normal,1,0,0,49
#######,#######,#######,x,instagram,neutral,0.5,Normal,1,0,0,48
#######,#######,#######,this is why knowledge is power 🫰,twitter,neutral,0.5,Normal,1,0,0,48
#######,#######,#######,keep up the amazing dance moves,instagram,positive,0.6,Normal,3,3,0,50
#######,#######,#######,"amahloni kimi, uRatha wenzani??? Why is he pressed to say he was not the presiding judge??  He is even making jokes (not this handsome judge) and stuttering 🤣🤣😂😂😂kushubile ngempela #senzomeyiwatrial",twitter,neutral,0.5,Normal,1,0,0,48
#######,#######,#######,Good series,twitter,positive,0.6,Normal,3,3,0,47
#######,#######,#######,Love this quote and the Shadow of games were peak,instagram,positive,0.6,Normal,3,3,0,47
#######,#######,#######,Good to know,instagram,positive,0.6,Normal,1,1,0,46
#######,#######,#######,My country peope!,instagram,neutral,0.5,Normal,1,0,0,46
#######,#######,#######,"""kuyenzeka umntu omdala abenamanga"" #senzomeyiwatrial",twitter,neutral,0.5,Normal,1,0,0,48
#######,#######,#######,Unuseful idiot😂😂,instagram,negative,0.8,Derogatory,8,0,8,49
#######,#######,#######,Thank you Lord,twitter,positive,0.6,Normal,3,3,0,51
#######,#######,#######,ouch,instagram,neutral,0.5,Normal,2,0,0,52
#######,#######,#######,God is good.,twitter,positive,0.6,Normal,3,3,0,48
#######,#######,#######,Tamara is a lovely name for girls,twitter,positive,0.6,Normal,3,3,0,48
#######,#######,#######,i started watching bridgerton and finally understood why it always gets trending topics in a new season; the series is very good,twitter,positive,0.6,Normal,3,3,0,48
#######,#######,#######,"my favourite celebrity,",instagram,neutral,0.5,Normal,1,0,0,50
#######,#######,#######,falta pouco pro natal amo que amo,twitter,neutral,0.5,Normal,1,0,0,49
#######,#######,#######,"Thank God, it great to see you.",twitter,positive,0.6,Normal,1,0,0,48
#######,#######,#######,lovely,twitter,positive,0.6,Normal,3,3,0,52
#######,#######,#######,💜💜💜💜,twitter,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,The  cutest angry face ever I love to see it ☺️,twitter,positive,0.6,Normal,3,3,0,47
#######,#######,#######,We love mommies,twitter,positive,0.6,Normal,3,3,0,49
#######,#######,#######,sad truth😿 yikho ukuthi ngeke sibuyeke,twitter,neutral,0.5,Normal,1,0,0,47
#######,#######,#######,Good to see you sir.,twitter,positive,0.6,Normal,3,3,0,50
#######,#######,#######,"Kindness and positiveness, looking awesome.",twitter,positive,0.6,Normal,3,3,0,48
#######,#######,#######,absolutely. God is good,twitter,positive,0.6,Normal,3,3,0,51
